covariate,coef
poverty_pct,0.006539951492359316
median_income,4.252577313121358e-07
age,0.004563383303304241
diabetes,-0.005217178243702799
hypertension,-0.021614550444086392
immunosuppressed,0.22538872487637535
prior_cancer,-0.009948986258238946
cci_score,0.04159161239099212
sex_Male,-0.020823030490163402
race_Asian_PI,-0.02627922593308518
race_Black_NH,0.0777251077390935
race_Hispanic,-0.05661275667532173
race_Other_Unknown,-0.027383937127349073
race_White_NH,-0.07730391076351692
insurance_Medicare,-0.016531833902271226
insurance_Private,-0.015685133642149518
insurance_Uninsured,0.03446445766291091
insurance_Unknown,0.006454169831448873
primary_site_Oropharynx,-0.029406379274420857
stage_II,0.02392747393182089
stage_III,0.15952506000426436
stage_IV,0.25093846892043176
grade_Poorly_diff,0.005161181088153027
grade_Undiff,0.022775332880976776
grade_Unknown,0.012431067823711459
grade_Well_diff,-0.011470691218989087
hpv_status_Positive,-0.19777786659656182
hpv_status_Unknown,0.016374594424317157
tobacco_use_Former,-0.21119180198908416
tobacco_use_Never,-0.1875101773300283
tobacco_use_Unknown,-0.14689569104561392
alcohol_use_Moderate,-0.0747807271162391
alcohol_use_None_Light,-0.08864914531506629
alcohol_use_Unknown,-0.09164319571702144
treatment_Multimodal,-0.09406245914614332
treatment_None_Unknown,-0.007900056825052522
treatment_Radiation_Only,0.10165922167325385
treatment_Surgery_Only,0.08667185243598431
treatment_Surgery_Radiation,0.011265741423954674
region_Northeast,0.0008263946350466859
region_South,0.002959014907892259
region_West,-0.009131698012664249
urban_rural_Rural,0.06897746517051333
urban_rural_Small_Metro,0.04751369710837597
urban_rural_Suburban,0.04332762325065373
